id,favorites,replies,retweets,hashtags
1,0,0,,"Lastenräder,UniGreifswald"
2,9,0,8,
3,6,0,,"citizenscience,Naturpark"
4,5,0,,"Nachhaltigkeit,Thema,Ideen"
5,3,1,1,
6,64,0,1,
7,3,0,,"Ökologie,Projekt"
8,30,0,6,"unigreifswald,wissenlocktmich"
9,29,0,3,
10,7,0,,
11,8,0,1,"Weltumwelttag,Zoologen"
12,1,0,,"unigreifswald,stadtradeln,greifswald"
13,12,0,,Nachhaltigkeit
14,6,0,1,"Expedition,Südpolarmeer"
15,8,0,1,"CHEHochschulranking,Psychologie,UniGreifswald"
16,11,0,1,
17,5,3,,Digitalisierung
18,5,1,,
19,12,0,2,"Publikation,Fachzeitschrift"
20,16,0,2,unigreifswald
21,11,0,,
22,7,0,1,
23,12,0,1,unigreifswald
24,0,0,,
25,4,0,1,
26,2,0,4,
27,2,0,1,"IFZO,unigreifswald"
28,1,0,,
29,23,0,2,unigreifswald
30,6,1,2,
31,15,0,,
32,5,0,,niederdeutsch
33,45,3,10,
34,6,1,4,unigreifswald
35,6,0,3,unigreifswald
36,4,2,,
37,4,0,,
38,9,0,3,wissenlocktmich
39,2,1,,
40,9,0,3,
41,20,1,6,"Moor,Klimaschutz,Paludikultur"
42,6,0,,
43,9,0,2,
44,8,0,1,"unigreifswald,wissenlocktmich,campus1456"
45,3,0,,unigreifswald
46,3,0,,unigreifswald
47,6,0,,
48,0,0,3,unigreifswald
49,4,0,,
50,6,0,,Demenzforschung
