id;from;favorites;replies;retweets;hashtags
1;exogol;0;0;;"Lastenräder"
2;exogol;9;0;8;
3;exogol;6;0;;"citizenscience;Naturpark"
4;exogol;5;0;;"Nachhaltigkeit;Thema;Ideen"
5;exogol;3;1;1;
6;exogol;64;0;1;
7;exogol;3;0;;"Ökologie;Projekt"
8;exogol;30;0;6;"wissen"
9;exogol;29;0;3;
10;exogol;7;0;;
11;exogol;8;0;1;"Weltumwelttag;Zoologen"
12;aldera;1;0;;"stadtradeln;exogol"
13;aldera;12;0;;Nachhaltigkeit
14;aldera;6;0;1;"Expedition;Südpolarmeer"
15;aldera;8;0;1;"CHEHochschulranking;Psychologie"
16;aldera;11;0;1;
17;aldera;5;3;;Digitalisierung
18;aldera;5;1;;
19;aldera;12;0;2;"Publikation;Fachzeitschrift"
20;aldera;16;0;2;
21;aldera;11;0;;
22;aldera;7;0;1;
23;aldera;12;0;1;
24;aldera;0;0;;
25;aldera;4;0;1;
26;aldera;2;0;4;
27;aldera;2;0;1;
28;aldera;1;0;;
29;aldera;23;0;2;
30;aldera;6;1;2;
31;dagobah;15;0;;
32;dagobah;5;0;;niederdeutsch
33;dagobah;45;3;10;
34;dagobah;6;1;4;
35;dagobah;6;0;3;
36;dagobah;4;2;;
37;dagobah;4;0;;
38;dagobah;9;0;3;
39;dagobah;2;1;;
40;dagobah;9;0;3;
41;dagobah;20;1;6;"Moor;Klimaschutz"
42;dagobah;6;0;;
43;dagobah;9;0;2;
44;dagobah;8;0;1;"campus"
45;dagobah;3;0;;
46;dagobah;3;0;;
47;dagobah;6;0;;
48;dagobah;0;0;3;
49;dagobah;4;0;;
50;dagobah;6;0;;Demenzforschung
