id;dateiname;datum;ort;text
article_1;https_de.wikinews.org_wiki_1._August_2005__Stichtag_der_Rechtschreibreform._August_2005_Stichtag_der_Rechtschreibreform;01.08.2005;Berlin (Deutschland) ; Seit Montag, dem 1. August 2005, ist die von einer zwischenstaatlichen Kommission ausgearbeitete und von der Kultusministerkonferenz einstimmig beschlossene Reform der deutschen Rechtschreibung gültige Grundlage für Schulen und Behörden im gesamten deutschen Sprachraum, sofern dieses in den jeweiligen Landes- oder Kommunalverwaltungen entsprechend beschlossen wurde. Die neuen Regeln treten zeitgleich in Österreich, der Schweiz und Deutschland (mit Ausnahme Bayerns und Nordrhein-Westfalens) in Kraft. Für einen kleinen Bereich des Regelwerks gelten noch Übergangsbestimmungen. Dies sind die Getrennt- und Zusammenschreibung, die Worttrennung am Zeilenende und die Interpunktion. Schülerinnen und Schülern werden Fehler in diesen Bereichen noch nicht als Fehler angestrichen, sondern als „veraltet“ markiert. Über 90 Prozent des Wortschatzes ist unstrittig: die Laut-Buchstaben-Zuordnung (incl. Fremdwortschreibung), Groß- und Kleinschreibung, Schreibung mit Bindestrich. Nach Ansicht der gegenwärtigen KMK-Präsidentin Johanna Wanka, Kultusministerin von Brandenburg (CDU), habe das Ausscheren von Nordrhein-Westfalen und Bayern bei der Kultusministerkonferenz (KMK) völliges Unverständnis hervorgerufen. Sie wies darauf hin, dass man auch an die Abmachungen mit den anderen deutschsprachigen Ländern - im Wesentlichen die Schweiz und Österreich - denken müsse. Der Vorsitzende des Rates für Rechtschreibung, Hans Zehetmair (CSU), hat noch einmal bekräftigt, die strittigen Fragen würden binnen Jahresfrist verbindlich geregelt. Er fügte hinzu, der Rat werde auch die jetzt als unstrittig geltenden Regeln noch einmal prüfen.
article_2;https_de.wikinews.org_wiki_Aachen_leidet_unter_der_Luftbelastung;12.10.2005;Aachen (Deutschland) ; Die Aachener Umweltverantwortlichen habe den Grad der Luftverschmutzung in der Innenstadt gemessen. Danach stellte sich heraus, dass an vielen Hauptstraßen die strengen Grenzwerte, die in Kürze in Kraft treten oder bereits gelten, deutlich überschritten werden. Berechnet wurde die Luftverschmutzung in Aachen anhand einer Computersimulation. Eine der 26 Hauptrouten der Stadt konnte Werte aufweisen, die innerhalb der Vorschriftsmäßigen Werte liegen. Die anderen 25 Bereiche langen darüber. Als nächster Schritt wird nun genau nachgemessen. Dann wird erabeitet, welche Maßnahmen Aachen ergreifen muss. Es soll ein ganzer Katalog an Maßnahmen erarbeitet werden. Was die Feinstaubwerte in Aachen angeht, war es Glückssache, dass es dieses Jahr so wenig schöne Tage gab. Es dürfen laut Feinstaubrichtlinie an maximal 35 Tagen die Feinstaubwerte überschritten werden, aber so viele schöne Tage gab es gar nicht. Eine der ersten angedachten Maßnahmen wird eine Verbesserung der Durchfahrtsmöglichkeiten auf den Hauptstraßen sein. Die Verbesserung der Grünen Welle wird für zügigeren Verkehr sorgen und weniger Abgase mit sich bringen. Die Stadt ist aber auch schon mit ihrem bisherigen Ergebnis sehr zufrieden, seit dem Jahr 2000 haben sich schon etliche Verbesserungen für die Bürger ergeben.
article_3;https_de.wikinews.org_wiki_Ab_2010_str_C3_B6mt_Erdgas_aus_Sibirien_nach_Deutschland;08.09.2005;Berlin (Deutschland) ; Der deutsche Bundeskanzler Gerhard Schröder und der russische Präsident Wladimir Putin wohnten heute der Unterzeichnung eines deutsch-russischen Kooperationsabkommens zum Bau einer Erdgaspipeline von Russland durch die Ostsee nach Deutschland bei. Am Bau der 1.200 Kilometer langen Pipeline, die vom russischen Ostseehafen Wyborg durch die Ostsee in die Region Greifswald führen wird, sind die deutschen Firmen E.ON und BASF sowie der russische Konzern Gasprom beteiligt, die dazu ein Gemeinschaftsunternehmen gegründet haben. Die Kosten für den Bau der Erdgasleitung werden auf 5,7 Milliarden Euro beziffert. Die Inbetriebnahme der neuen Pipeline mit einer Transportkapazität von 27,5 Milliarden Kubikmetern Erdgas ist für das Jahr 2010 geplant. Später soll sogar die doppelte Menge geliefert werden. Es sind auch Abzweigungen von der Hauptleitung nach Schweden, Finnland und zu der russischen Stadt Kaliningrad geplant. Der Bundeskanzler würdigte das Abkommen als historischen Schritt, der die Versorgung Deutschlands mit Energie auf Jahrzehnte sichern werde. Beim polnischen Ministerpräsidenten Aleksander Kwasniewski und in den baltischen Staaten stieß das deutsch-russische Abkommen auf Kritik, weil sie nicht an den Verhandlungen beteiligt waren. Auch Wolfgang Schäuble, stellvertretender Fraktionsvorsitzender der CDU/CSU-Fraktion im Deutschen Bundestag, kritisierte die Pläne als deutsch-russischen Alleingang, die Bundesregierung hätte mit den baltischen Staaten und Polen über das Projekt reden müssen. Diese Kritik aufgreifend sagte Schröder bei der Unterzeichnung des Abkommens in Berlin: „Diese Zusammenarbeit ist gegen niemanden gerichtet, sondern dient deutschen Interessen und dient russischen Interessen.” Nach einem Zusammentreffen Putins mit der Kanzlerkandidatin der CDU/CSU, Angela Merkel äußerte sich die CDU-Vorsitzende, anders als der außenpolitische Sprecher ihres Wahlkampfteams, Wolfgang Schäuble, positiv gegenüber dem deutsch-russischen Erdgasabkommen. Sie sagte, dies sei ein guter Tag für die deutsch-russischen Beziehungen. Nach Angaben der Bundesregierung werden zurzeit 95 Milliarden Kubikmeter Erdgas in Deutschland verbraucht. Durch die neue Pipeline werde die Versorgungssicherheit im Nordwesten Europas erhöht. Der Bundeskanzler wies in diesem Zusammenhang auch auf die wachsende Unsicherheit auf den weltweiten Ölmärkten hin.
article_4;https_de.wikinews.org_wiki_Abschaffung_des_Bayerischen_Obersten_Landesgerichts_best_C3_A4tigt;29.09.2005;München (Deutschland) ; Die SPD-Landtagsfraktion und mehrere Bürger hatten gegen die Abschaffung des Bayerischen Obersten Landesgerichts geklagt. Heute hat der Bayerische Verfassungsgerichtshof die Klagen abgewiesen. Als Urteilsbegründung gab der Verfassungsgerichtshof an, durch die Auflösung des Bayerischen Obersten Landesgerichts würde die Rechtssprechung im Freistaat Bayern nicht gefährdet. Das Bayerische Oberste Landesgericht existiert bundesweit nur einmalig in Bayern. Die Auflösung erfolgt zum 1. Juli 2006. Der Staat Bayern spart durch diese Maßnahme jährlich eine Summe von 1,48 Millionen Euro.
article_5;https_de.wikinews.org_wiki_Absturz_der_Su-27__Russland_erwartet_von_Litauen_Einhaltung_des_V_C3_B6lk;20.09.2005;Wilna (Litauen) / Moskau (Russland) ; Major Valeri Trojanow, Pilot des am Donnerstagnachmittag über Litauen abgestürzten russischen Kampfflugzeuges Su-27, befindet sich noch immer in Gewahrsam Litauens. Litauen geht davon aus, dass der Pilot keine Überflugerlaubnis hatte. Das „Departement Information und Presse“ des russischen Außenministeriums gab jetzt einen offiziellen Kommentar zu dem Vorfall ab. Demnach erwartet Russland, dass Litauen dem Major der Luftstreitkräfte die Jurisdictionsimmunität zukommen lässt. Diese Immunitätsregelung entspricht dem allgemeinen Völkerrecht. Gleiches gelte nach Meinung Russlands auch für das Flugzeug, welches ebenso wie der Pilot umgehend der Russischen Föderation übergeben werden müsse. Die Verantwortlichen des Außenministeriums erwarten von Litauen eine konstruktive Lösung dieses Problems. Der Pilot Trojanow, der sich mit dem Schleudersitz retten konnte, wurde zwischenzeitlich von Ärzten in Wilna untersucht. Sein Zustand ist den Umständen entsprechend zufriedenstellend. Er nimmt momentan in der litauischen Hauptstadt an den Ermittlungen zum Absturz teil. Dazu gab das russische Außenministerium weiter bekannt: „Im Rahmen der von den litauischen Rechtsschutzorganen eingeleiteten Ermittlung machte Trojanow im Beisein eines Rechtsanwalts und eines Vertreters der russischen Botschaft in Vilnius Aussagen gegenüber Mitarbeitern der Generalstaatsanwaltschaft Litauens.“
article_6;https_de.wikinews.org_wiki_AFD_Politiker_Guido_Reil_wurde_festgenommen_;31.05.2018;Gelsenkirchen (Deutschland) ; Der AfD-Politiker Guido Reil wurde auf einer Demonstration zum Tag der Arbeit am 1. Mai 2018 in Rüttenscheid festgenommen. Als Grund gibt die Polizei an, dass er aufgrund von verbotenen Gegenständen (u.a. Pfefferspray) vom Platz verwiesen wurde. Der Politiker hielt sich nicht an diesen Platzverweis, weshalb er während eines Facebook-Live-Videos von der Partei: Alternative für Deutschland (AfD) in Polizeigewahrsam genommen wurde! Er selbst schrieb unter besagtem Video, dass er lediglich zur Erster-Mai-Demonstration wollte und will die Polizei nun verklagen. Seine Sicherheitsleute hatten das Pfefferspray dabei, nicht er selber. Laut WAZ läßt seine Partei die Gewahrsamnahme Reils durch eine unabhängige Kanzlei rechtlich auf Verhältnismäßigkeit der Essener Polizei überprüfen.  Kommentar abgeben 
article_7;https_de.wikinews.org_wiki_AfD_zieht_gegen_Regierung_Merkel_vor_das_Bundesverfassungsgericht;24.05.2018;Karlsruhe (Deutschland) ;" Die Bundestagsfraktion der AfD hat am 14. Mai gegen die Bundesregierung unter Bundeskanzlerin Angela Merkel ein Organstreitverfahren vor dem Bundesverfassungsgericht eingeleitet. Die Fraktion wendet sich damit gegen die Entscheidung von Angela Merkel im Herbst 2015, die Grenze zu Österreich für Flüchtlinge aus dem Nahen Osten zu öffnen. Auf diese Grenzöffnung hin begaben sich binnen kurzer Zeit Hunderttausende Immigranten nach Deutschland. Nach Ansicht der AfD habe die Bundesregierung so gegen geltendes Recht verstoßen. Gegenstand des Verfahrens vor dem Bundesverfassungsgericht ist indes allein die Frage, ob die Regierung so Mitwirkungsrechte des Deutschen Bundestages verletzt hat. Die Erfolgsaussichten des Antrags beim Bundesverfassungsgericht werden in Fachkreisen bezweifelt. Als Hürde dürfte sich zunächst erweisen, dass die AfD zum Zeitpunkt der angegriffenen Entscheidung noch gar nicht im Bundestag vertreten war. Zwar darf eine Fraktion stellvertretend für den gesamten Bundestag eine Rechtsverletzung geltend machen. Sie muss aber grundsätzlich auch die Möglichkeit aufzeigen, selbst betroffen zu sein. Die Juristen der AfD-Fraktion argumentieren, die 2015 geschaffene Situation bestehe bis heute fort. Deshalb sei sie in ihren Rechten seit dem Zeitpunkt betroffen, seit welchem sie selbst dem Bundestag angehört. Weil dies erst seit dem 24. Oktober 2017 der Fall ist, so die AfD-Juristen, sei außerdem die Jahresfrist für einen solchen Antrag gewahrt.
Sollte das Gericht den Antrag der AfD zulassen, ist auch die Entscheidung in der Sache noch nicht abzusehen. In der Vergangenheit hatte das Bundesverfassungsgericht immer wieder betont, dass „wesentliche Entscheidungen“ der Regierung durch das Parlament gebilligt werden müssen. Auf diese Rechtsprechung stützt die AfD ihre Klage: Die Öffnung der Grenzen habe langfristige Wirkungen auf das Gemeinwesen der Bundesrepublik sowie dessen finanzielle Ausstattung. Beides hatte das Gericht in der Vergangenheit als Kriterien dafür angeführt, dass die Regierung eine Entscheidung des Parlaments einholen müsse. Wie eine Entscheidung des Bundesverfassungsgerichts ausfallen könnte, ist gleichwohl noch offen. Seit 2015 hat der Bundestag verschiedene Maßnahmengesetze erlassen, um auf den Zuzug von Flüchtlingen zu reagieren. Möglich ist, dass er aus verfassungsjuristischer Sicht damit die Entscheidung der Bundesregierung nachträglich legitimiert und weiter präzisiert hat. In der Presse mehrten sich vor allem Stimmen der Entrüstung, die gleichermaßen an der Zulässigkeit und Begründetheit des Antrags zweifelten. Verfassungsrechtler Joachim Wieland äußerte im Handelsblatt etwa Zweifel daran, dass die Entscheidung von 2015 die Rechte des Parlaments noch heute beschneide. Auch sei unklar, welches Recht des Bundestages oder der AfD-Fraktion überhaupt verletzt worden sei. Der Bundestag habe schließlich jederzeit die Möglichkeit gehabt, Fragen des Zuzugs von Flüchtlingen abweichend von der Regierungsentscheidung gesetzlich zu regeln. Vermutet wird, dass die AfD eine Niederlage vor dem Bundesverfassungsgericht anstrebe. Dies könne als Beleg für die These einer „links-grün dominierten Justiz“ politisch ausgeschlachtet werden und den Rechtsstaat gefährden. Der Antrag wird zunächst der Bundesregierung zugestellt. Erst wenn auch deren Stellungnahme vorliegt, wird das Gericht über die Zulassung des Antrags entscheiden. "
article_8;https_de.wikinews.org_wiki_Al-Kuds-F_C3_BChrer_Soleimani_von_US-Milit_C3_A4r_get_C3_B6tet;05.01.2020;Bagdad (Iran) ;" Am Donnerstag hatten die Streitkräfte der Vereinigten Staaten bei einem Luftangriff Qasem Soleimani getötet, den Führer der Quds-Einheit. Die Vereinigten Staaten bezeichnen den Angriff als Verteidigungsaktion und verweisen als Beispiel auf einen Anschlag auf die US-Botschaft in Baghdad, am 31. Dezember. Soleimani sollte bei dem Angriff auf die US-Bürger beteiligt gewesen sein. Der Luftangriff fand am Internationalen Flughafen Bagdad statt, wo Soleimani mit dem Flugzeug eintraf. Er wurde dort von Abu Mahdi al-Muhandis empfangen, der ebenfalls bei dem Luftangriff starb. Al-Muhandis war stellvertretender Kommandant des Volksmobilmachungskomitees (PMF), einer vom irakischen Staat geförderte Milizarmee. Zu den Opfern gehört auch ein Kataeb-Hezbollah-Funktionär. Die britische Tageszeitung The Daily Telegraph berichtete mit Verweis auf örtliche paramilitärische Einheiten, dass der Angriff mit drei Raketen geführt wurde. In einem Bericht, der nach dem Angriff veröffentlicht wurde, rechtfertigte das Verteidigungsministerium der Vereinigten Staaten die vom  Präsidenten abgesegnete Aktion als „defensiver Natur“: „Auf Anweisung des Präsidenten hatte das US-Militär entschiedene Abwehrmaßnahmen ergriffen. Zum Schutz des US-Personals im Ausland wurde Qasem Soleimani getötet, ein Führer der iranischen Revolutionsgarde, der Al-Kuds-Brigaden, die von den USA als Terrororganisation eingestuft wurden. General Soleimani war aktiv in der Entwicklung eines Plans, um amerikanische Diplomaten und Dienstangehörige im Irak und überall in der Region anzugreifen. General Soleimani und seine Quds-Einheit waren für den Tod von hunderten Amerikanern und Koalitionsangehörigen und mehr als tausende Verletzte  verantwortlich. Er organisierte Anschläge auf Koalitionsbasen in Irak über die vergangenen Monate – den Angriff am 27. Dezember eingeschlossen – bis hin zum Tod und zur Verwundung von weiterem amerikanischen und irakischem Personal. General Soleimani billigte auch den Angriff auf die US-Botschaft in Bagdad, der in dieser Woche stattfand. Der Angriff zielte darauf ab, von zukünftigen iranischen Angriffsplänen abzuschrecken. Die Vereinigten Staaten werden weiterhin alle nötigen Maßnahmen ergreifen, um unser Volk zu beschützen und unsere Interessen durchzusetzen, egal wo auf der Welt.“ Der US-Militäraktion vorausgegangen waren vor einigen Wochen Raketenattacken auf die US-Botschaft in Irak; Die Nachrichtenseite Business Insider berichtete daraufhin, dass die Raketenangriffe von Sympathisanten der PMF (Al-Haschd_asch-Schaʿbī) ausgeführt wurden. In einer Stellungnahme nach dem Angriff von Ahmed al-Assadi, einem Sprecher der PMF, beschuldigte dieser Israel und die Vereinigten Staaten wegen des Angriffes. Bis dato gibt es aber keine Berichte über Indizien, die für eine Beteiligung von Israel sprechen. Die Iranischen Revolutionsgarden sprachen bereits zu seinen Lebzeiten von Soleimani als „Märtyrer“. Sayyid Ali Hosseini Khamenei ordnete eine dreitägige öffentliche Trauer an. In einer Nachricht würdigte er Soleimanis Lebensweg: „Er war ein leuchtendes Beispiel für diejenigen, die im Islam und in der Schule des Imam Khomeini erzogen und ausgebildet wurden. Er verbrachte sein ganzes Leben mit dem Dschihad auf dem Wege Gottes. Der Märtyrertod war seine Belohnung für die jahrelangen unerbittlichen Bemühungen […] Shahid Soleimani ist das internationale Gesicht des Widerstandes, und alle, die eine tief empfundene Verbindung zum Widerstand haben, verlangen für ihn nach Blutrache.“ In seiner Stellungnahme befand der israelische Premierminister Benjamin Netanyahu den US-Luftangriff als gerechtfertigt und nannte Trumps Angriffsauftrag „schnell, kraftvoll und entschieden“. Die US-Botschaft im Irak stellte ihre Arbeit ein und empfahl in einer Sicherheitswarnung am 3. Januar US-Bürgern, unverzüglich das Land zu verlassen und nicht die Botschaft aufzusuchen. Im Jahr 2007 erklärte die US-Regierung Soleimani zum Terrorist und verhängte Sanktionen gegen ihn. 2011 sanktionierten sie ihn nochmals im Zusammenhang mit einem Komplott zur Ermordung des saudi-arabischen Botschafters. Im April letzten Jahres hatte das Außenministerium der Vereinigten Staaten die iranische Revolutionsgarde als Terrororganisation eingestuft. Die Vereinigten Staaten hatten auch individuelle Sanktionen gegen al-Muhandis verhängt.  Kommentar abgeben  Dieser Artikel ist  eine Übersetzung eines fremdsprachigen Artikels vom 05.01.2020 (Version)"
article_9;https_de.wikinews.org_wiki_Alexa_und_Siri__E2_80_93_soll_nun_auch_der_Staat_mith_C3_B6ren_3F;06.06.2019;Kiel (Deutschland) ;" Nach den Unternehmen könnte nun auch der Staat die Daten von Sprachassistenten nutzen. Eine entsprechende Beschlussvorlage für die Innenministerkonferenz kommt von Hans-Joachim Grote (CDU) aus der schleswig-holsteinischen Jamaikaregierung. Bislang werden die Daten nur von den Unternehmen selbst ausgewertet; die Zustimmung dazu ist Voreinstellung für die digitalen Helfer – es kann aber widersprochen werden. Widerspruch gibt es bei Sicherheitsbehörden natürlich nicht. So soll die Möglichkeit geschaffen werden, mit den „digitalen Spuren“ aus dem Smart-Home Verbrechen zu verhindern und aufzuklären. Von Kritikern wird dies als ein Eingriff in den höchstpersönlichen Lebensbereich gesehen, der „den eisernen Rechtsstaatsgrundsatz ad absurdum“ führen würde, dass man sich als Beschuldigter nicht selbst belasten müsse. Grundsätzlich verteidigt wurde der Vorstoß damit, dass es die Entscheidung eines Jeden sei, ob er einen Sprachassistenten benutzen und Daten zur Verfügung stellen würde."
article_10;https_de.wikinews.org_wiki_Algerien_setzt_Fl_C3_BCchtlinge_trotz_EU-Hilfen_in_der_Sahara_aus;27.06.2018;Algier (Algerien) ;" Obwohl im November 2015 auf dem Migrationsgipfel in Valletta von der Europäischen Kommission der Nothilfe-Treuhandfonds der EU zur ""Unterstützung der Stabilität und zur Bekämpfung der Ursachen von irregulärer Migration und Vertreibungen in Afrika"" initiiert wurde, weist Algerien die Flüchtlinge in die Wüste Sahara aus. 
Für den Nothilfe-Treuhandfonds werden aus dem EU-Haushalt und dem Europäischen Entwicklungsfonds mehr als 2,4 Mrd. Euro bereitgestellt, die mit Beiträgen der EU-Mitgliedstaaten und anderer Geber kombiniert werden.
Auf der Europäischen Migrationsagenda wurde auch der Schutz der Migranten als Ziel vereinbart. Algerien hat in den letzten 14 Monaten mehr als 13.000 Flüchtlinge in der Wüste Sahara ausgesetzt, um sie zum Teil unter Androhung von Waffengewalt zum Marsch zurück in die Herkunftsländer zu zwingen. Darunter sind schwangere Frauen und Kinder. Sie wurden mit Lastwagen in die Sahara gefahren und ohne Wasser oder Nahrung bei Temperaturen von mehr als 40 Grad Celsius ausgesetzt. Geld und Mobiltelefone wurden den Flüchtlingen meist von der algerischen Polizei abgenommen. Immer wieder werden die Leichen von Menschen gefunden, die auf den Flüchtlingstrecks durch die Sahara ums Leben kommen. Die Massenausweisungen aus Algerien sind seit Oktober 2017 stark angestiegen. Anders als die Nachbarstaaten nimmt Algerien von der EU kein Geld, das für die Bewältigung der Flüchtlingskrise bereitgestellt worden ist, aber erhielt von 2014 bis 2017 anderweitige EU-Hilfen von rund 95 Millionen Euro.  Kommentar abgeben / Kommentare ansehen  Marokko holt ausgesetzte Flüchtlinge aus der Sahara zurück (09.10.2005)"
