Tag	POS	Morphology	Description
$(	PUNCT	PunctType=brck	other sentence-internal punctuation mark
$,	PUNCT	PunctType=comm	comma
$.	PUNCT	PunctType=peri	sentence-final punctuation mark
ADJA	ADJ		adjective, attributive
ADJD	ADJ	Variant=short	adjective, adverbial or predicative
ADV	ADV		adverb
APPO	ADP	AdpType=post	postposition
APPR	ADP	AdpType=prep	preposition; circumposition left
APPRART	ADP	AdpType=prep PronType=art	preposition with article
APZR	ADP	AdpType=circ	circumposition right
ART	DET	PronType=art	definite or indefinite article
CARD	NUM	NumType=card	cardinal number
FM	X	Foreign=yes	foreign language material
ITJ	INTJ		interjection
KOKOM	CONJ	ConjType=comp	comparative conjunction
KON	CONJ		coordinate conjunction
KOUI	SCONJ		subordinate conjunction with "zu" and infinitive
KOUS	SCONJ		subordinate conjunction with sentence
NE	PROPN		proper noun
NNE	PROPN		proper noun
NN	NOUN		noun, singular or mass
PAV	ADV	PronType=dem	pronominal adverb
PROAV	ADV	PronType=dem	pronominal adverb
PDAT	DET	PronType=dem	attributive demonstrative pronoun
PDS	PRON	PronType=dem	substituting demonstrative pronoun
PIAT	DET	PronType=ind neg tot	attributive indefinite pronoun without determiner
PIDAT	DET	AdjType=pdt PronType=ind neg tot	attributive indefinite pronoun with determiner
PIS	PRON	PronType=ind neg tot	substituting indefinite pronoun
PPER	PRON	PronType=prs	non-reflexive personal pronoun
PPOSAT	DET	Poss=yes PronType=prs	attributive possessive pronoun
PPOSS	PRON	PronType=rel	substituting possessive pronoun
PRELAT	DET	PronType=rel	attributive relative pronoun
PRELS	PRON	PronType=rel	substituting relative pronoun
PRF	PRON	PronType=prs Reflex=yes	reflexive personal pronoun
PTKA	PART		particle with adjective or adverb
PTKANT	PART	PartType=res	answer particle
PTKNEG	PART	Negative=yes	negative particle
PTKVZ	PART	PartType=vbp	separable verbal particle
PTKZU	PART	PartType=inf	"zu" before infinitive
PWAT	DET	PronType=int	attributive interrogative pronoun
PWAV	ADV	PronType=int	adverbial interrogative or relative pronoun
PWS	PRON	PronType=int	substituting interrogative pronoun
TRUNC	X	Hyph=yes	word remnant
VAFIN	AUX	Mood=ind VerbForm=fin	finite verb, auxiliary
VAIMP	AUX	Mood=imp VerbForm=fin	imperative, auxiliary
VAINF	AUX	VerbForm=inf	infinitive, auxiliary
VAPP	AUX	Aspect=perf VerbForm=fin	perfect participle, auxiliary
VMFIN	VERB	Mood=ind VerbForm=fin VerbType=mod	finite verb, modal
VMINF	VERB	VerbForm=fin VerbType=mod	infinitive, modal
VMPP	VERB	Aspect=perf VerbForm=part VerbType=mod	perfect participle, modal
VVFIN	VERB	Mood=ind VerbForm=fin	finite verb, full
VVIMP	VERB	Mood=imp VerbForm=fin	imperative, full
VVINF	VERB	VerbForm=inf	infinitive, full
VVIZU	VERB	VerbForm=inf	infinitive with "zu", full
VVPP	VERB	Aspect=perf VerbForm=part	perfect participle, full
XY	X		non-word containing non-letter
SP	SPACE		space
