lemma,pos,sentiment,inflections,stem
Abmachung,NN,0.004,Abmachungen,abmachung
Abschluß,NN,0.004,"Abschluss,Abschlusse,Abschlusses,Abschlüsse,Abschlüssen",abschluss
Abstimmung,NN,0.004,Abstimmungen,abstimmung
Agilität,NN,0.004,,agilitat
Aktivität,NN,0.004,Aktivitäten,aktivitat
Aktualisierung,NN,0.004,Aktualisierungen,aktualisier
Aktualität,NN,0.004,Aktualitäten,aktualitat
Akzeptanz,NN,0.004,Akzeptanzen,akzeptanz
Andrang,NN,0.004,"Andrangs,Andranges,Andrange",andrang
Anerkennung,NN,0.0855,Anerkennungen,anerkenn
Angebot,NN,0.0711,"Angeboten,Angebote,Angebots,Angebotes",angebot
Angemessenheit,NN,0.004,,angemess
Anhebung,NN,0.004,Anhebungen,anhebung
Anheiterung,NN,0.004,,anheiter
Ankurbelung,NN,0.004,Ankurbelungen,ankurbel
Annehmlichkeit,NN,0.004,Annehmlichkeiten,annehmlich
Annäherung,NN,0.004,Annäherungen,annaher
Anpassung,NN,0.004,Anpassungen,anpassung
Anpassungsfähigkeit,NN,0.004,Anpassungsfähigkeiten,anpassungsfah
Anreicherung,NN,0.004,Anreicherungen,anreicher
Anspruch,NN,0.004,"Anspruchs,Anspruches,Ansprüchen,Ansprüche",anspruch
Anstand,NN,0.004,"Anstands,Anständen,Anstände,Anstandes",anstand
Anstieg,NN,0.004,"Anstiegen,Anstiegs,Anstiege,Anstieges",anstieg
Anständigkeit,NN,0.004,,anstandig
Anteil,NN,0.004,"Anteilen,Anteiles,Anteils,Anteile",anteil
Anziehung,NN,0.004,Anziehungen,anziehung
Applaus,NN,0.0871,"Applausen,Applause,Applauses",applaus
Attraktivität,NN,0.004,,attraktivitat
Aufbereitung,NN,0.004,Aufbereitungen,aufbereit
Aufbesserung,NN,0.004,Aufbesserungen,aufbesser
Auferstehung,NN,0.004,Auferstehungen,aufersteh
Aufmerksamkeit,NN,0.004,Aufmerksamkeiten,aufmerksam
Aufmunterung,NN,0.004,Aufmunterungen,aufmunter
Aufrichtigkeit,NN,0.004,,aufricht
Aufschwung,NN,0.004,"Aufschwüngen,Aufschwungs,Aufschwunges,Aufschwünge,Aufschwunge",aufschwung
